,time,open,high,low,close,volume
2899,2024-12-31 04:45:00+00:00,189.13,189.25,188.42,188.9,16754.652
2900,2024-12-31 05:00:00+00:00,188.9,189.42,188.84,189.02,13156.59
2901,2024-12-31 05:15:00+00:00,189.03,189.42,188.04,189.05,18043.875
2902,2024-12-31 05:30:00+00:00,189.06,189.54,188.91,189.14,14485.723
2903,2024-12-31 05:45:00+00:00,189.14,189.35,188.39,188.52,17176.583
2904,2024-12-31 06:00:00+00:00,188.52,189.78,188.17,188.9,23589.699
2905,2024-12-31 06:15:00+00:00,188.9,189.79,188.65,189.26,16389.134
2906,2024-12-31 06:30:00+00:00,189.26,189.62,188.38,188.71,14728.957
2907,2024-12-31 06:45:00+00:00,188.71,189.25,188.46,189.11,23136.444
2908,2024-12-31 07:00:00+00:00,189.1,189.81,189.07,189.67,31775.997
2909,2024-12-31 07:15:00+00:00,189.67,190.18,189.35,189.79,27401.427
2910,2024-12-31 07:30:00+00:00,189.79,190.12,189.57,189.94,16243.851
2911,2024-12-31 07:45:00+00:00,189.93,190.11,189.71,190.07,16408.739
2912,2024-12-31 08:00:00+00:00,190.07,190.87,190.0,190.43,21790.524
2913,2024-12-31 08:15:00+00:00,190.43,192.91,190.34,192.78,61842.778
2914,2024-12-31 08:30:00+00:00,192.77,193.75,192.14,192.66,56688.598
2915,2024-12-31 08:45:00+00:00,192.66,193.18,191.88,192.13,28062.711
2916,2024-12-31 09:00:00+00:00,192.12,192.68,191.57,192.56,19285.863
2917,2024-12-31 09:15:00+00:00,192.56,193.24,192.51,193.05,27596.858
2918,2024-12-31 09:30:00+00:00,193.04,193.98,192.78,193.71,24563.68
2919,2024-12-31 09:45:00+00:00,193.7,194.24,192.91,193.32,21420.796
2920,2024-12-31 10:00:00+00:00,193.32,194.07,193.17,193.62,33669.924
2921,2024-12-31 10:15:00+00:00,193.62,194.35,193.07,194.32,21664.855
2922,2024-12-31 10:30:00+00:00,194.32,194.66,193.96,194.53,21935.864
2923,2024-12-31 10:45:00+00:00,194.54,194.96,194.25,194.3,22481.849
2924,2024-12-31 11:00:00+00:00,194.31,194.62,193.97,194.02,16998.028
2925,2024-12-31 11:15:00+00:00,194.01,194.41,193.68,194.18,33471.277
2926,2024-12-31 11:30:00+00:00,194.18,194.61,194.07,194.11,26297.675
2927,2024-12-31 11:45:00+00:00,194.11,194.23,193.7,193.79,11174.817
2928,2024-12-31 12:00:00+00:00,193.8,194.39,193.64,193.96,34406.578
2929,2024-12-31 12:15:00+00:00,193.95,194.48,193.95,194.27,18381.577
2930,2024-12-31 12:30:00+00:00,194.27,194.6,193.78,193.97,20102.945
2931,2024-12-31 12:45:00+00:00,193.96,193.97,193.01,193.06,21198.731
2932,2024-12-31 13:00:00+00:00,193.05,194.43,193.05,194.42,17110.115
2933,2024-12-31 13:15:00+00:00,194.41,196.3,194.36,195.86,69843.051
2934,2024-12-31 13:30:00+00:00,195.86,196.08,194.79,195.21,43233.076
2935,2024-12-31 13:45:00+00:00,195.2,196.22,195.2,195.89,37087.201
2936,2024-12-31 14:00:00+00:00,195.9,197.29,195.77,197.26,49078.833
2937,2024-12-31 14:15:00+00:00,197.26,198.18,196.81,198.0,49885.437
2938,2024-12-31 14:30:00+00:00,198.0,198.43,196.84,197.77,70696.44
2939,2024-12-31 14:45:00+00:00,197.77,198.5,197.03,197.42,50997.629
2940,2024-12-31 15:00:00+00:00,197.42,198.1,196.54,197.68,33624.666
2941,2024-12-31 15:15:00+00:00,197.67,198.25,197.2,197.91,20806.425
2942,2024-12-31 15:30:00+00:00,197.92,198.49,197.51,197.9,29292.142
2943,2024-12-31 15:45:00+00:00,197.9,198.76,197.67,198.44,30178.11
2944,2024-12-31 16:00:00+00:00,198.44,198.69,197.85,198.21,32154.386
2945,2024-12-31 16:15:00+00:00,198.22,198.98,198.15,198.47,27683.397
2946,2024-12-31 16:30:00+00:00,198.47,198.67,197.55,198.6,39407.68
2947,2024-12-31 16:45:00+00:00,198.59,199.21,198.56,198.95,33248.238
2948,2024-12-31 17:00:00+00:00,198.95,199.27,198.19,198.39,27034.582
2949,2024-12-31 17:15:00+00:00,198.39,198.46,197.43,197.52,22526.777
2950,2024-12-31 17:30:00+00:00,197.51,197.67,194.02,195.19,94739.013
2951,2024-12-31 17:45:00+00:00,195.2,196.19,194.51,196.1,34657.139
2952,2024-12-31 18:00:00+00:00,196.1,196.68,195.77,196.28,20207.996
2953,2024-12-31 18:15:00+00:00,196.27,196.31,195.15,195.39,22023.502
2954,2024-12-31 18:30:00+00:00,195.4,195.95,194.8,194.99,24288.195
